app_id,app_title,app_public_title,app_description,app_author,app_version,app_long_version,app_directory,app_added,app_position,app_protected,app_enabled,app_location,app_hide_tab,app_tab_groups,app_website,app_update_check,app_global_caches
1,System,"Help Files","Manage global tools and settings","Invision Power Services, Inc.",3.4.7,34013,core,1315842434,1,1,1,root,0,,http://www.invisionpower.com/,https://www.invisionpower.com/clients/resource_updates.php?resource=core,""
2,Members,Members,"Manage members and groups","Invision Power Services, Inc.",3.4.7,34013,members,1315842437,2,1,1,root,0,,http://www.invisionpower.com/,https://www.invisionpower.com/clients/resource_updates.php?resource=core,""
3,Forums,Forums,"Manage forums and posts","Invision Power Services, Inc.",3.4.7,34013,forums,1315842439,3,1,1,root,0,,http://www.invisionpower.com/apps/board/,https://www.invisionpower.com/clients/resource_updates.php?resource=board,""
4,"Fascist Calendar","Fascist Calendar","","","",33004,calendar,1431440485,4,0,1,ips,0,"","","",""
