pf_id,pf_content,pf_type,pf_not_null,pf_member_hide,pf_max_input,pf_member_edit,pf_position,pf_show_on_reg,pf_input_format,pf_admin_only,pf_format,pf_group_id,pf_search_type,pf_filtering,pf_multiple,pf_allow_attachments
3,null,Url,0,0,0,1,0,0,"",0,"",1,loose,0,0,1
5,"[""Not Telling"",""Male"",""Female""]",Select,1,0,0,1,2,1,"",0,"",2,"",0,0,1
6,null,Text,1,0,0,1,3,1,"",0,"<span class='ft'>{title}</span> <span class='fc'>{content}</span>",2,loose,0,0,1
7,null,TextArea,0,0,0,1,4,0,"",0,"",2,loose,0,0,1
11,null,Text,1,0,0,1,1,1,"",0,"<span class=""ft"">{title}: </span><span class=""fc"">{content}</span>",2,exact,0,0,1
12,null,Editor,0,0,0,1,0,0,,0,"",3,"",0,0,1
13,null,Url,0,0,0,1,5,0,"",0,"",1,loose,0,0,1
